[ 2020-04-15 09:49:30 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:49:35 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 09:49:35 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 09:50:19 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:50:19 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 09:50:21 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 09:50:21 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 15:06:23 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 15:06:23 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 16:34:54 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 16:34:54 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 16:34:59 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 16:34:59 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 16:35:03 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 16:35:03 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 16:38:25 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 16:38:25 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 16:40:09 ] 读取缓存失败, redis: nil
[ 2020-04-15 16:40:15 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 16:40:28 ] 读取缓存失败, redis: nil
[ 2020-04-15 16:41:39 ] 读取缓存失败, redis: nil
[ 2020-04-15 16:56:33 ] 读取缓存失败, redis: nil
[ 2020-04-15 16:56:33 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 16:59:33 ] 读取缓存失败, redis: nil
[ 2020-04-15 16:59:33 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:01:09 ] 读取缓存失败, redis: nil
[ 2020-04-15 17:01:09 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:02:18 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 17:02:18 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:02:24 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 17:02:24 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 17:02:31 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 17:02:31 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:02:36 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 17:02:36 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:02:37 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 17:02:37 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:02:41 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 17:02:41 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:02:42 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 17:02:42 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 17:04:48 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 17:04:48 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 17:04:52 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 17:04:52 ] 添加阅读量失败, redis: client is closed
record not foundrecord not found[ 2020-04-15 17:58:02 ] 读取缓存失败, redis: nil
[ 2020-04-15 17:58:02 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 18:15:13 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 18:15:13 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 18:26:17 ] 读取缓存失败, redis: nil
[ 2020-04-15 18:26:17 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 20:44:23 ] 读取缓存失败, redis: nil
[ 2020-04-15 20:44:23 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 20:46:06 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 20:46:06 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 20:46:07 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 20:46:07 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 20:47:44 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 20:47:44 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 20:47:50 ] 获取阅读量失败, redis: client is closed
[ 2020-04-15 20:47:50 ] 添加阅读量失败, redis: client is closed
[ 2020-04-15 21:26:32 ] 读取缓存失败, redis: nil
[ 2020-04-15 21:26:32 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:26:35 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:26:35 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:26:36 ] 读取缓存失败, redis: client is closed
[ 2020-04-15 21:26:36 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:47:47 ] 读取缓存失败, redis: nil
[ 2020-04-15 21:47:47 ] 写入缓存失败, redis: client is closed
[ 2020-04-15 21:47:55 ] 获取阅读量失败, redis: client is closed
